id,year,number,title,citation,link,source
pub-035,2021,9,Federated Learning for Thyroid Ultrasound Image Analysis to Protect Personal Information: Validation Study in Real Healthcare Environment,"Haeyun Lee, Young Jun Chai, Hyunjin Joo, Kyungsu Lee, Jae Youn Hwang, Seok-Mo Kim, Kwangsoon Kim, Inn-Chul Nam, June Young Choi, Hyeong Won You, Myung-Chul Lee, Hiroo Masuoka, Akira Miyauchi, Kyu Eun Lee, Sungwan Kim, Hyoun-Joong Kong, “Federated Learning for Thyroid Ultrasound Image Analysis to Protect Personal Information: Validation Study in Real Healthcare Environment” JMIR Medical Informatics, 2021",https://scholar.google.com/scholar?q=Federated%20Learning%20for%20Thyroid%20Ultrasound%20Image%20Analysis%20to%20Protect%20Personal%20Information%3A%20Validation%20Study%20in%20Real%20Healthcare%20Environment,MBIS Lab Publications page
pub-036,2021,10,Intelligent smartphone-based multimode imaging otoscope for the mobile diagnosis of otitis media,"Thiago C. Cavalcanti, Hah Min Lew, Kyungsu Lee, Sang-yeon Lee, Moo Park, and Jae Youn Hwang*, “Intelligent smartphone-based multimode imaging otoscope for the mobile diagnosis of otitis media”, Biomedical Optics Express, 2021",https://scholar.google.com/scholar?q=Intelligent%20smartphone-based%20multimode%20imaging%20otoscope%20for%20the%20mobile%20diagnosis%20of%20otitis%20media,MBIS Lab Publications page
pub-037,2020,1,Channel Attention Module with Multi-scale Grid Average Pooling for Breast Cancer Segmentation in An Ultrasound Image,"Haeyun Lee, Jinhyoung Park, Jae Youn Hwang*, “Channel Attention Module with Multi-scale Grid Average Pooling for Breast Cancer Segmentation in An Ultrasound Image”, IEEE Transactions on UFFC, 2020",https://scholar.google.com/scholar?q=Channel%20Attention%20Module%20with%20Multi-scale%20Grid%20Average%20Pooling%20for%20Breast%20Cancer%20Segmentation%20in%20An%20Ultrasound%20Image,MBIS Lab Publications page
pub-038,2020,2,Fully-Automatic Deep Learning-Based Analysis for Determination of Invasiveness of Breast Cancer Cells in an Acoustic Trap,"Sangyeon Youn⁺, Kyungsu Lee⁺, Jeehoon Son, In-Hwan Yang and Jae Youn Hwang*, “Fully-Automatic Deep Learning-Based Analysis for Determination of Invasiveness of Breast Cancer Cells in an Acoustic Trap”, Biomedical Optics Express 11.6: 2976-2995, 2020",https://scholar.google.com/scholar?q=Fully-Automatic%20Deep%20Learning-Based%20Analysis%20for%20Determination%20of%20Invasiveness%20of%20Breast%20Cancer%20Cells%20in%20an%20Acoustic%20Trap,MBIS Lab Publications page
pub-039,2020,3,Smartphone-based spectral imaging otoscope: system development and preliminary study for evaluation of its potential as a mobile diagnostic tool,"Thiago C. Cavalcanti, Sewoong Kim, Kyungsu Lee, Sang-Yeon Lee, Moo Kyun Park, and Jae Youn Hwang*, “Smartphone-based spectral imaging otoscope: system development and preliminary study for evaluation of its potential as a mobile diagnostic tool”, Journal of Biophotonics, 2020",https://scholar.google.com/scholar?q=Smartphone-based%20spectral%20imaging%20otoscope%3A%20system%20development%20and%20preliminary%20study%20for%20evaluation%20of%20its%20potential%20as%20a%20mobile%20diagnostic%20tool,MBIS Lab Publications page
pub-040,2020,4,Wide-field 3D Ultrasound Imaging Platform With a Semi-automatic 3D Segmentation Algorithm for Quantitative Analysis of Rotator Cuff Tears,"Moon Hwan Lee⁺, JunYoung Kim⁺, Kyungsu Lee, ChangHuk Choi, and Jae Youn Hwang* “Wide-field 3D Ultrasound Imaging Platform With a Semi-automatic 3D Segmentation Algorithm for Quantitative Analysis of Rotator Cuff Tears”, IEEE Access, 8: 65472-65487, 2020",https://scholar.google.com/scholar?q=Wide-field%203D%20Ultrasound%20Imaging%20Platform%20With%20a%20Semi-automatic%203D%20Segmentation%20Algorithm%20for%20Quantitative%20Analysis%20of%20Rotator%20Cuff%20Tears,MBIS Lab Publications page
pub-041,2020,5,Domain Adaptive Transfer Attack (DATA)-based Segmentation Networks for Building Extraction from Aerial Images,"Na, Younghwan, Kim, Junhee, Kyungsu Lee, Park, Juhum, Hwang, Jae Youn, Choi, Jihwan, “Domain Adaptive Transfer Attack (DATA)-based Segmentation Networks for Building Extraction from Aerial Images”, IEEE Transactions on Geoscience & Remote Sensing, 2020",https://scholar.google.com/scholar?q=Domain%20Adaptive%20Transfer%20Attack%20%28DATA%29-based%20Segmentation%20Networks%20for%20Building%20Extraction%20from%20Aerial%20Images,MBIS Lab Publications page
pub-042,2020,6,Forward-looking Multimodal Endoscopic System based on Optical Multispectral and High-frequency Ultrasound Imaging techniques for Tumor Detection,"Jihun Kim, Hah Min Lew, Jung-Hee Kim, Sangyeon Youn, Hasan Al Faruque, An Na Seo, Soo Yeun Park, Jin Ho Chang, Enjoo Kim, and Jae Youn Hwang*, “Forward-looking Multimodal Endoscopic System based on Optical Multispectral and High-frequency Ultrasound Imaging techniques for Tumor Detection”, IEEE Transactions on Medical Imaging, 2020",https://scholar.google.com/scholar?q=Forward-looking%20Multimodal%20Endoscopic%20System%20based%20on%20Optical%20Multispectral%20and%20High-frequency%20Ultrasound%20Imaging%20techniques%20for%20Tumor%20Detection,MBIS Lab Publications page
pub-043,2020,7,Energy-Efficient High-Voltage Pulsers for Ultrasound Transducers,"Jaesuk Choi, Sangyeon Youn, Jae Youn Hwang, Sohmyung Ha, Chul Kim and Minkyu Je, “Energy-Efficient High-Voltage Pulsers for Ultrasound Transducers”, IEEE Transactions on Circuits and Systems II: Express Briefs, 2020",https://scholar.google.com/scholar?q=Energy-Efficient%20High-Voltage%20Pulsers%20for%20Ultrasound%20Transducers,MBIS Lab Publications page
pub-044,2019,1,Gravitational field flow fractionation: Enhancing the resolution power by using an acoustic force field,"Jae Youn Hwang, Sangyeon Youn, In-Hwan Yang, “Gravitational field flow fractionation: Enhancing the resolution power by using an acoustic force field”, Analytica Chimica Acta, 1047: 238-247, 2019",https://scholar.google.com/scholar?q=Gravitational%20field%20flow%20fractionation%3A%20Enhancing%20the%20resolution%20power%20by%20using%20an%20acoustic%20force%20field,MBIS Lab Publications page
pub-045,2019,2,Smartphone-based Multispectral Imaging and Machine-learning based Analysis for Discrimination between Seborrheic Dermatitis and Psoriasis on the Scalp,"Sewoong Kim, Minjoo Hwang, Manjae Kim, Jihun Kim, Seong Jin Jo, Minkyu Je, Jae Eun Jang, Dong Hun Lee,* and Jae Youn Hwang*, “Smartphone-based Multispectral Imaging and Machine-learning based Analysis for Discrimination between Seborrheic Dermatitis and Psoriasis on the Scalp”, Biomedical Optics Express, 10.2: 879-891, 2019",https://scholar.google.com/scholar?q=Smartphone-based%20Multispectral%20Imaging%20and%20Machine-learning%20based%20Analysis%20for%20Discrimination%20between%20Seborrheic%20Dermatitis%20and%20Psoriasis%20on%20the%20Scalp,MBIS Lab Publications page
pub-046,2019,3,Acoustic Trapping Technique for Studying Calcium Response of a Suspended Breast Cancer Cell: Determination of its Invasion potentials,"Sangyeon Youn, Jin Woo Choi, Junsu Lee, Jihun Kim, In-Hwan Yang, Jin Ho Chang, Hee Chan Kim, Jae Youn Hwang*, “Acoustic Trapping Technique for Studying Calcium Response of a Suspended Breast Cancer Cell: Determination of its Invasion potentials”, IEEE Transactions on UFFC, 2019",https://scholar.google.com/scholar?q=Acoustic%20Trapping%20Technique%20for%20Studying%20Calcium%20Response%20of%20a%20Suspended%20Breast%20Cancer%20Cell%3A%20Determination%20of%20its%20Invasion%20potentials,MBIS Lab Publications page
pub-047,2019,4,Non-invasive measurement of hemodynamic change during 8 MHz transcranial focused ultrasound stimulation using near-infrared spectroscopy,"Evgenii Kim, Eloise Anguluan, Sangyeon Youn, Jihun Kim, Jae Youn Hwang and Jae Gwan Kim, “Non-invasive measurement of hemodynamic change during 8 MHz transcranial focused ultrasound stimulation using near-infrared spectroscopy”, BMC Neuroscience, 20:12, 2019",https://scholar.google.com/scholar?q=Non-invasive%20measurement%20of%20hemodynamic%20change%20during%208%20MHz%20transcranial%20focused%20ultrasound%20stimulation%20using%20near-infrared%20spectroscopy,MBIS Lab Publications page
